LSOA code,Median residential properties price,Median Age
E01011950,30000.0,39.2
E01011949,88000.0,35.8
E01011951,44500.0,33.9
E01011953,62500.0,32.5
E01011954,117000.0,40.1
E01011952,63000.0,43.6
E01011955,75250.0,35.8
E01033466,58500.0,31.7
E01011957,64500.0,38.3
E01032540,110000.0,42.0
E01011959,319950.0,48.0
E01011961,116000.0,40.7
E01011962,125250.0,36.9
E01011963,133000.0,52.7
E01011960,140000.0,55.7
E01011967,119000.0,37.3
E01011965,202550.0,48.9
E01011966,145000.0,45.8
E01011964,128000.0,38.3
E01011968,138000.0,51.4
E01011970,122000.0,46.2
E01011969,124950.0,51.7
E01011971,155000.0,38.9
E01033465,172975.0,34.0
E01033467,144950.0,40.2
E01011973,28125.0,35.4
E01011975,37000.0,33.5
E01011976,42500.0,37.0
E01011974,85000.0,38.8
E01011979,,32.2
E01011977,80000.0,32.8
E01011978,56500.0,33.9
E01011983,235000.0,47.7
E01011980,79000.0,41.8
E01011981,75000.0,39.2
E01011982,284995.0,51.3
E01011985,110000.0,49.7
E01011986,116000.0,45.8
E01011984,120000.0,54.8
E01011987,65000.0,39.0
E01011989,85000.0,37.3
E01011988,92500.0,44.4
E01011990,100000.0,39.9
E01011994,48500.0,37.1
E01011992,132950.0,33.4
E01011993,85000.0,41.8
E01011991,89975.0,44.5
E01011995,164250.0,49.1
E01011998,144950.0,50.3
E01011996,96250.0,50.8
E01011997,142250.0,43.0
E01012001,102000.0,34.9
E01012000,,42.6
E01011999,45000.0,32.8
E01032541,88000.0,44.1
E01012002,90000.0,43.4
E01012005,184000.0,40.5
E01012003,277995.0,51.1
E01012008,144000.0,38.8
E01012010,176500.0,45.5
E01012007,129500.0,47.4
E01012009,132000.0,39.5
E01012012,116000.0,36.1
E01012011,100000.0,33.2
E01012014,72500.0,30.2
E01012013,104370.0,34.7
E01012017,105000.0,49.0
E01012016,77500.0,39.8
E01012015,70000.0,44.4
E01012020,83625.0,33.9
E01012018,110000.0,40.9
E01012019,,29.4
E01012021,77500.0,32.8
E01012025,137500.0,47.0
E01012022,202995.0,42.8
E01012023,165000.0,62.8
E01012024,136750.0,49.2
E01033469,97000.0,33.1
E01012026,139950.0,40.2
E01012027,135000.0,36.2
E01012030,130000.0,46.4
E01012033,110000.0,48.9
E01012035,115000.0,44.5
E01012032,180000.0,39.3
E01012034,183000.0,38.2
E01012031,116250.0,43.9
E01012038,53000.0,29.0
E01012036,45750.0,26.6
E01012041,,46.0
E01012037,50000.0,29.0
E01012039,49000.0,25.5
E01012040,45500.0,27.9
E01012043,114000.0,48.4
E01012042,112000.0,44.6
E01012044,,31.3
E01012045,,31.2
E01012048,144000.0,48.6
E01012047,143000.0,39.9
E01012046,155000.0,52.8
