LSOA code, Urban 
E01007069,1
E01007070,1
E01007071,1
E01007072,1
E01007073,1
E01007074,1
E01007075,1
E01007076,1
E01007077,1
E01007078,1
E01007079,1
E01007080,1
E01007081,1
E01007082,1
E01007083,1
E01007084,1
E01007085,1
E01007086,1
E01007087,1
E01007088,1
E01007353,1
E01007354,0
E01007355,1
E01007356,1
E01007357,1
E01007358,1
E01007359,1
E01007360,1
E01007361,1
E01007362,1
E01007363,1
E01007364,1
E01007365,1
E01007366,1
E01007367,1
E01007368,1
E01007369,1
E01007370,1
E01007371,1
E01007372,1
E01007373,1
E01007374,1
E01007375,1
E01007376,1
E01007377,1
E01007378,1
E01007379,1
E01007380,1
E01007381,1
E01007382,1
E01007383,1
E01007384,1
E01007385,1
E01007386,1
E01007387,1
E01007388,1
E01007389,1
E01007390,1
E01007391,1
E01007392,1
E01007253,1
E01007254,1
E01007255,1
E01007256,1
E01007257,1
E01007258,1
E01007259,1
E01007260,1
E01007261,1
E01007262,1
E01007263,1
E01007264,1
E01007265,1
E01007266,1
E01007267,1
E01007268,1
E01007269,1
E01007270,1
E01007271,1
E01007272,1
E01007273,1
E01007274,1
E01007275,1
E01007276,1
E01007277,1
E01007278,1
E01007279,1
E01007280,1
E01007281,1
E01007282,1
E01007283,1
E01007284,1
E01007285,1
E01007286,1
E01007287,1
E01007288,1
E01007289,1
E01007290,1
E01007291,1
E01007292,1
E01006987,1
E01006988,1
E01006989,1
E01006990,1
E01006991,1
E01006992,1
E01006993,1
E01006994,1
E01006995,1
E01006996,1
E01006997,1
E01006998,1
E01006999,1
E01007000,1
E01007001,1
E01007002,1
E01007003,1
E01007004,1
E01007005,1
E01007006,1
E01007007,1
E01007008,1
E01007009,1
E01007010,1
E01007011,1
E01007012,1
E01007013,1
E01007014,1
E01007016,1
E01007017,1
E01007019,1
E01007020,1
E01007021,1
E01007022,1
E01007023,1
E01007024,1
E01007025,1
E01007026,1
E01007027,0
E01007028,1
E01007029,1
E01007030,1
E01007031,1
E01007032,1
E01007033,1
E01007034,1
E01007035,1
E01007036,1
E01007037,1
E01007038,1
