,Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,force,DayMonth
201017,Person and Vehicle search,2018-08-27 00:00:00+00:00,False,,51.54034,-0.0019510000000000005,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201018,Person search,2018-08-27 00:29:00+00:00,False,,51.630422,0.003653,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201019,Person search,2018-08-27 00:30:00+00:00,False,,51.513802,-0.133443,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201020,Person search,2018-08-27 00:31:00+00:00,False,,51.517193,-0.20083,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201021,Person search,2018-08-27 00:42:00+00:00,False,,,,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201022,Person search,2018-08-27 00:50:00+00:00,False,,51.537626,-0.248489,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201023,Person search,2018-08-27 00:55:00+00:00,False,,51.53422800000001,-0.19344,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,018-08-metropolitan,27/8/2018
201024,Person search,2018-08-27 01:00:00+00:00,False,,51.439779,-0.020228,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201025,Person search,2018-08-27 01:00:00+00:00,False,,51.554181,-0.007316,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201026,Person search,2018-08-27 01:00:00+00:00,False,,51.554181,-0.007316,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201027,Person search,2018-08-27 01:00:00+00:00,False,,51.554181,-0.007316,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201028,Person search,2018-08-27 01:00:00+00:00,False,,51.554181,-0.007316,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201029,Person search,2018-08-27 01:04:00+00:00,False,,51.563983,-0.13081199999999998,Male,25-34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201030,Person search,2018-08-27 01:04:00+00:00,False,,51.52329,-0.09768,Male,over 34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201031,Person search,2018-08-27 01:20:00+00:00,False,,51.479491,-0.026631,Male,over 34,Asian/Asian British - Chinese,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,018-08-metropolitan,27/8/2018
201032,Person and Vehicle search,2018-08-27 01:55:00+00:00,False,,51.514016,-0.172189,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201033,Person search,2018-08-27 01:56:00+00:00,False,,51.502686,-0.084879,Male,25-34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,,018-08-metropolitan,27/8/2018
201034,Person and Vehicle search,2018-08-27 02:15:00+00:00,False,,51.60868,-0.06725,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201035,Person search,2018-08-27 02:20:00+00:00,False,,51.649975,-0.051038,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,,018-08-metropolitan,27/8/2018
201036,Person search,2018-08-27 02:25:00+00:00,False,,51.607481,-0.067069,Male,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201037,Person search,2018-08-27 02:25:00+00:00,False,,51.607481,-0.067069,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201038,Person search,2018-08-27 02:27:00+00:00,False,,51.525498,-0.161177,Female,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201039,Person search,2018-08-27 02:30:00+00:00,False,,51.41010900000001,0.026231,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,018-08-metropolitan,27/8/2018
201040,Person search,2018-08-27 02:35:00+00:00,False,,51.483743,-0.219848,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,018-08-metropolitan,27/8/2018
